Sample,Target,Cq,SD
I.GFP.13.4th,UBQ7,23.06106647,0.167898934
I.GFP.13.4th,UBQ7,NA,NA
I.GFP.14.2nd,ACT7,20.45259127,0.125389393
I.GFP.14.2nd,ACT7,20.62991865,0.125389393
I.GFP.14.2nd,ACT7,NA,NA
I.GFP.14.2nd,HYD1,27.60256482,0.073893274
I.GFP.14.2nd,HYD1,27.49806395,0.073893274
I.GFP.14.2nd,HYD1,NA,NA
I.GFP.14.2nd,PP2A1,26.68264033,0.007900985
I.GFP.14.2nd,PP2A1,26.67146665,0.007900985
I.GFP.14.2nd,PP2A1,NA,NA
I.GFP.14.2nd,TBL6,29.44449467,0.040957767
I.GFP.14.2nd,TBL6,29.5024177,0.040957767
I.GFP.14.2nd,TBL6,NA,NA
I.GFP.14.2nd,TMN5,30.0496649,0.149467454
I.GFP.14.2nd,TMN5,29.838286,0.149467454
I.GFP.14.2nd,TMN5,NA,NA
I.GFP.14.2nd,UBQ14,26.77804273,0.023581488
I.GFP.14.2nd,UBQ14,26.81139199,0.023581488
I.GFP.14.2nd,UBQ14,NA,NA
I.GFP.14.2nd,UBQ7,21.28512096,0.032834977
I.GFP.14.2nd,UBQ7,21.23868529,0.032834977
I.GFP.14.2nd,UBQ7,NA,NA
I.GFP.14.4th,ACT7,25.63552488,0.038817192
I.GFP.14.4th,ACT7,25.58062908,0.038817192
I.GFP.14.4th,ACT7,NA,NA
I.GFP.14.4th,HYD1,31.16173787,0.083756947
I.GFP.14.4th,HYD1,31.04328766,0.083756947
I.GFP.14.4th,HYD1,NA,NA
I.GFP.14.4th,PP2A1,31.62214369,0.055104527
I.GFP.14.4th,PP2A1,31.70007326,0.055104527
I.GFP.14.4th,PP2A1,NA,NA
I.GFP.14.4th,TBL6,NA,NA
I.GFP.14.4th,TBL6,NA,NA
I.GFP.14.4th,TBL6,NA,NA
I.GFP.14.4th,TMN5,35.71600597,1.108009606
I.GFP.14.4th,TMN5,34.31622992,1.108009606
I.GFP.14.4th,TMN5,33.52832558,1.108009606
I.GFP.14.4th,UBQ14,31.50133877,0.058364516
I.GFP.14.4th,UBQ14,31.41879888,0.058364516
I.GFP.14.4th,UBQ14,NA,NA
I.GFP.14.4th,UBQ7,27.85951441,0.027321821
I.GFP.14.4th,UBQ7,27.82087552,0.027321821
I.GFP.14.4th,UBQ7,NA,NA
I.GFP.15.2nd,ACT7,21.33354064,0.017869345
I.GFP.15.2nd,ACT7,21.30826957,0.017869345
I.GFP.15.2nd,ACT7,NA,NA
I.GFP.15.2nd,PP2A1,27.67008436,0.024439364
I.GFP.15.2nd,PP2A1,27.70464684,0.024439364
I.GFP.15.2nd,PP2A1,NA,NA
I.GFP.15.2nd,TBL6,31.13646891,0.271147279
I.GFP.15.2nd,TBL6,31.51992907,0.271147279
I.GFP.15.2nd,TBL6,NA,NA
I.GFP.15.2nd,TMN5,31.16569274,0.142744657
I.GFP.15.2nd,TMN5,31.36756417,0.142744657
I.GFP.15.2nd,TMN5,NA,NA
I.GFP.15.2nd,UBQ14,27.49219946,0.03525983
I.GFP.15.2nd,UBQ14,27.44233453,0.03525983
I.GFP.15.2nd,UBQ14,NA,NA
I.GFP.15.2nd,UBQ7,22.886488,0.09754876
I.GFP.15.2nd,UBQ7,22.74853322,0.09754876
I.GFP.15.2nd,UBQ7,NA,NA
I.GFP.16.2nd,ACT7,20.41708734,0.013042811
I.GFP.16.2nd,ACT7,20.39864202,0.013042811
I.GFP.16.2nd,ACT7,NA,NA
I.GFP.16.2nd,HYD1,27.18688861,0.08118853
I.GFP.16.2nd,HYD1,27.30170653,0.08118853
I.GFP.16.2nd,HYD1,NA,NA
I.GFP.16.2nd,PP2A1,26.43621692,0.117679737
I.GFP.16.2nd,PP2A1,26.6026412,0.117679737
I.GFP.16.2nd,PP2A1,NA,NA
I.GFP.16.2nd,TBL6,NA,NA
I.GFP.16.2nd,TBL6,NA,NA
I.GFP.16.2nd,TBL6,NA,NA
I.GFP.16.2nd,TMN5,29.52446685,0.027805518
I.GFP.16.2nd,TMN5,29.48514391,0.027805518
I.GFP.16.2nd,TMN5,NA,NA
I.GFP.16.2nd,UBQ14,25.87637224,NA
I.GFP.16.2nd,UBQ14,NA,NA
I.GFP.16.2nd,UBQ14,26.43459589,NA
I.GFP.16.2nd,UBQ7,21.12618842,0.168041303
I.GFP.16.2nd,UBQ7,21.36383471,0.168041303
I.GFP.16.2nd,UBQ7,NA,NA
I.GFP.16.4th,ACT7,23.05307321,0.010276842
I.GFP.16.4th,ACT7,23.06760686,0.010276842
I.GFP.16.4th,ACT7,NA,NA
I.GFP.16.4th,HYD1,30.48169358,0.008774813
I.GFP.16.4th,HYD1,30.49410304,0.008774813
I.GFP.16.4th,HYD1,NA,NA
I.GFP.16.4th,PP2A1,29.80552785,0.074525201
I.GFP.16.4th,PP2A1,29.9109224,0.074525201
I.GFP.16.4th,PP2A1,NA,NA
I.GFP.16.4th,TBL6,NA,NA
I.GFP.16.4th,TBL6,NA,NA
I.GFP.16.4th,TBL6,NA,NA
I.GFP.16.4th,TMN5,32.02115809,0.122161076
I.GFP.16.4th,TMN5,32.19391994,0.122161076
I.GFP.16.4th,TMN5,NA,NA
I.GFP.16.4th,UBQ14,29.80318661,0.047907906
I.GFP.16.4th,UBQ14,29.7354346,0.047907906
I.GFP.16.4th,UBQ14,NA,NA
I.GFP.16.4th,UBQ7,25.21917054,0.013628939
I.GFP.16.4th,UBQ7,25.23844477,0.013628939
I.GFP.16.4th,UBQ7,NA,NA
I.GFP.17.2nd,ACT7,22.5461906,0.001185988
I.GFP.17.2nd,ACT7,22.54786784,0.001185988
I.GFP.17.2nd,ACT7,NA,NA
I.GFP.17.2nd,HYD1,28.95910749,0.092915111
I.GFP.17.2nd,HYD1,28.82770568,0.092915111
I.GFP.17.2nd,HYD1,NA,NA
I.GFP.17.2nd,PP2A1,28.74406788,0.005653326
I.GFP.17.2nd,PP2A1,28.75206289,0.005653326
I.GFP.17.2nd,PP2A1,NA,NA
I.GFP.17.2nd,TBL6,NA,NA
I.GFP.17.2nd,TBL6,NA,NA
I.GFP.17.2nd,TBL6,NA,NA
I.GFP.17.2nd,TMN5,31.24232331,0.076772033
I.GFP.17.2nd,TMN5,31.13375126,0.076772033
I.GFP.17.2nd,TMN5,NA,NA
I.GFP.17.2nd,UBQ14,28.34278668,0.214666956
I.GFP.17.2nd,UBQ14,28.6463716,0.214666956
I.GFP.17.2nd,UBQ14,NA,NA
I.GFP.17.2nd,UBQ7,23.8376554,0.074617146
I.GFP.17.2nd,UBQ7,23.73213082,0.074617146
I.GFP.17.2nd,UBQ7,NA,NA
I.GFP.18.2nd,ACT7,20.54582447,0.046916181
I.GFP.18.2nd,ACT7,20.61217397,0.046916181
I.GFP.18.2nd,ACT7,NA,NA
I.GFP.18.2nd,HYD1,25.81796135,0.051038204
I.GFP.18.2nd,HYD1,25.74578243,0.051038204
I.GFP.18.2nd,HYD1,NA,NA
I.GFP.18.2nd,PP2A1,26.42892882,0.022236967
I.GFP.18.2nd,PP2A1,26.397481,0.022236967
I.GFP.18.2nd,PP2A1,NA,NA
I.GFP.18.2nd,TBL6,28.79474961,0.057745189
I.GFP.18.2nd,TBL6,28.87641364,0.057745189
I.GFP.18.2nd,TBL6,NA,NA
I.GFP.18.2nd,TMN5,28.26771771,0.023119323
I.GFP.18.2nd,TMN5,28.23502205,0.023119323
I.GFP.18.2nd,TMN5,NA,NA
I.GFP.18.2nd,UBQ14,20.79491037,0.102276618
I.GFP.18.2nd,UBQ14,20.93955135,0.102276618
I.GFP.18.2nd,UBQ14,NA,NA
I.GFP.18.2nd,UBQ7,25.73473379,0.004900851
I.GFP.18.2nd,UBQ7,25.74166464,0.004900851
I.GFP.18.2nd,UBQ7,NA,NA
I.GFP.18.4th,ACT7,21.08077585,0.029329969
I.GFP.18.4th,ACT7,21.03929701,0.029329969
I.GFP.18.4th,ACT7,NA,NA
I.GFP.18.4th,HYD1,25.96947606,0.023673284
I.GFP.18.4th,HYD1,26.00295514,0.023673284
I.GFP.18.4th,HYD1,NA,NA
I.GFP.18.4th,PP2A1,26.16961566,0.178759105
I.GFP.18.4th,PP2A1,26.42241921,0.178759105
I.GFP.18.4th,PP2A1,NA,NA
I.GFP.18.4th,TBL6,29.28176413,0.002840505
I.GFP.18.4th,TBL6,29.28578121,0.002840505
I.GFP.18.4th,TBL6,NA,NA
I.GFP.18.4th,TMN5,28.9578454,0.000688269
I.GFP.18.4th,TMN5,28.95881876,0.000688269
I.GFP.18.4th,TMN5,NA,NA
I.GFP.18.4th,UBQ14,21.39233758,0.082078339
I.GFP.18.4th,UBQ14,21.50841388,0.082078339
I.GFP.18.4th,UBQ14,NA,NA
I.GFP.18.4th,UBQ7,26.12091056,0.020946363
I.GFP.18.4th,UBQ7,26.15053319,0.020946363
I.GFP.18.4th,UBQ7,NA,NA
I.GFP.19.2nd,ACT7,20.50309842,0.02921493
I.GFP.19.2nd,ACT7,20.46178227,0.02921493
I.GFP.19.2nd,ACT7,NA,NA
I.GFP.19.2nd,HYD1,27.89917643,0.044314679
I.GFP.19.2nd,HYD1,27.96184685,0.044314679
I.GFP.19.2nd,HYD1,NA,NA
I.GFP.19.2nd,PP2A1,26.13544719,0.051786415
I.GFP.19.2nd,PP2A1,26.20868424,0.051786415
I.GFP.19.2nd,PP2A1,NA,NA
I.GFP.19.2nd,TBL6,NA,NA
I.GFP.19.2nd,TBL6,NA,NA
I.GFP.19.2nd,TBL6,NA,NA
I.GFP.19.2nd,TMN5,31.14562281,0.143253852
I.GFP.19.2nd,TMN5,30.94303127,0.143253852
I.GFP.19.2nd,TMN5,NA,NA
I.GFP.19.2nd,UBQ14,26.33918816,0.02705556
I.GFP.19.2nd,UBQ14,26.3774505,0.02705556
I.GFP.19.2nd,UBQ14,NA,NA
I.GFP.19.2nd,UBQ7,22.41162492,0.02272446
I.GFP.19.2nd,UBQ7,22.44376216,0.02272446
I.GFP.19.2nd,UBQ7,NA,NA
I.GFP.19.4th,ACT7,27.10638012,0.002406631
I.GFP.19.4th,ACT7,27.10297663,0.002406631
I.GFP.19.4th,ACT7,NA,NA
I.GFP.19.4th,HYD1,34.54216745,NA
I.GFP.19.4th,HYD1,NA,NA
I.GFP.19.4th,HYD1,36.01227014,NA
I.GFP.19.4th,PP2A1,33.14679431,0.170407367
I.GFP.19.4th,PP2A1,33.38778672,0.170407367
I.GFP.19.4th,PP2A1,NA,NA
I.GFP.19.4th,TBL6,NA,NA
I.GFP.19.4th,TBL6,NA,NA
I.GFP.19.4th,TBL6,NA,NA
I.GFP.19.4th,TMN5,36.29459118,NA
I.GFP.19.4th,TMN5,36.81330352,NA
I.GFP.19.4th,TMN5,NA,NA
I.GFP.19.4th,UBQ14,31.23350221,0.235677226
I.GFP.19.4th,UBQ14,31.56680014,0.235677226
I.GFP.19.4th,UBQ14,NA,NA
I.GFP.19.4th,UBQ7,35.07154135,NA
I.GFP.19.4th,UBQ7,NA,NA
I.GFP.19.4th,UBQ7,36.27389748,NA
I.GFP.2.2nd,ACT7,21.3446606,0.016819878
I.GFP.2.2nd,ACT7,21.3208737,0.016819878
I.GFP.2.2nd,ACT7,NA,NA
I.GFP.2.2nd,HYD1,27.00545768,0.011511359
I.GFP.2.2nd,HYD1,26.98917816,0.011511359
I.GFP.2.2nd,HYD1,NA,NA
I.GFP.2.2nd,PP2A1,26.27246396,0.042358871
I.GFP.2.2nd,PP2A1,26.33236845,0.042358871
I.GFP.2.2nd,PP2A1,NA,NA
I.GFP.2.2nd,TBL6,28.31349257,0.093954374
I.GFP.2.2nd,TBL6,28.44636412,0.093954374
I.GFP.2.2nd,TBL6,NA,NA
I.GFP.2.2nd,TMN5,29.59979444,0.147828811
I.GFP.2.2nd,TMN5,29.39073293,0.147828811
I.GFP.2.2nd,TMN5,NA,NA
I.GFP.2.2nd,UBQ14,26.37291877,0.117984153
I.GFP.2.2nd,UBQ14,26.20606398,0.117984153
I.GFP.2.2nd,UBQ14,NA,NA
I.GFP.2.2nd,UBQ7,21.53193979,0.003915059
I.GFP.2.2nd,UBQ7,21.52640306,0.003915059
I.GFP.2.2nd,UBQ7,NA,NA
I.GFP.20.2nd,ACT7,20.15976791,0.083000159
I.GFP.20.2nd,ACT7,20.27714786,0.083000159
I.GFP.20.2nd,ACT7,NA,NA
I.GFP.20.2nd,HYD1,27.54657454,0.122050583
I.GFP.20.2nd,HYD1,27.37396895,0.122050583
I.GFP.20.2nd,HYD1,NA,NA
I.GFP.20.2nd,PP2A1,26.12308578,0.02257845
I.GFP.20.2nd,PP2A1,26.15501653,0.02257845
I.GFP.20.2nd,PP2A1,NA,NA
I.GFP.20.2nd,TBL6,28.02885275,0.025220858
I.GFP.20.2nd,TBL6,28.06452043,0.025220858
I.GFP.20.2nd,TBL6,NA,NA
I.GFP.20.2nd,TMN5,30.09812411,0.072748129
I.GFP.20.2nd,TMN5,30.2010055,0.072748129
I.GFP.20.2nd,TMN5,NA,NA
I.GFP.20.2nd,UBQ14,25.45287928,0.044271779
I.GFP.20.2nd,UBQ14,25.39026953,0.044271779
I.GFP.20.2nd,UBQ14,NA,NA
I.GFP.20.2nd,UBQ7,20.41484437,0.010888596
I.GFP.20.2nd,UBQ7,20.43024317,0.010888596
I.GFP.20.2nd,UBQ7,NA,NA
I.GFP.20.4th,ACT7,NA,NA
I.GFP.20.4th,ACT7,23.95042856,NA
I.GFP.20.4th,ACT7,25.15939192,NA
I.GFP.20.4th,HYD1,29.03097217,2.176132295
I.GFP.20.4th,HYD1,31.70961053,2.176132295
I.GFP.20.4th,HYD1,33.34103666,2.176132295
I.GFP.20.4th,PP2A1,28.30124918,NA
I.GFP.20.4th,PP2A1,NA,NA
I.GFP.20.4th,PP2A1,31.28500899,NA
I.GFP.20.4th,TBL6,33.3895894,0.000748932
I.GFP.20.4th,TBL6,33.38853025,0.000748932
I.GFP.20.4th,TBL6,NA,NA
I.GFP.20.4th,TMN5,NA,NA
I.GFP.20.4th,TMN5,NA,NA
I.GFP.20.4th,TMN5,34.29776629,NA
I.GFP.20.4th,UBQ14,NA,NA
I.GFP.20.4th,UBQ14,NA,NA
I.GFP.20.4th,UBQ14,32.15345908,NA
I.GFP.20.4th,UBQ7,22.78423567,0.269818803
I.GFP.20.4th,UBQ7,23.16581708,0.269818803
I.GFP.20.4th,UBQ7,NA,NA
I.GFP.21.2nd,ACT7,20.82294653,0.030628853
I.GFP.21.2nd,ACT7,20.86626227,0.030628853
I.GFP.21.2nd,ACT7,NA,NA
I.GFP.21.2nd,HYD1,27.19447998,0.16413509
I.GFP.21.2nd,HYD1,26.96235791,0.16413509
I.GFP.21.2nd,HYD1,NA,NA
I.GFP.21.2nd,PP2A1,26.95575289,0.039397911
I.GFP.21.2nd,PP2A1,26.90003583,0.039397911
I.GFP.21.2nd,PP2A1,NA,NA
I.GFP.21.2nd,TBL6,30.13388137,0.021579004
I.GFP.21.2nd,TBL6,30.16439869,0.021579004
I.GFP.21.2nd,TBL6,NA,NA
I.GFP.21.2nd,TMN5,29.85871262,0.074296509
I.GFP.21.2nd,TMN5,29.75364149,0.074296509
I.GFP.21.2nd,TMN5,NA,NA
I.GFP.21.2nd,UBQ14,21.96068737,0.009469567
I.GFP.21.2nd,UBQ14,21.97407936,0.009469567
I.GFP.21.2nd,UBQ14,NA,NA
I.GFP.21.2nd,UBQ7,26.30224831,0.003271684
I.GFP.21.2nd,UBQ7,26.30687517,0.003271684
I.GFP.21.2nd,UBQ7,NA,NA
I.GFP.22.2nd,ACT7,20.35555637,0.011442451
I.GFP.22.2nd,ACT7,20.37173844,0.011442451
I.GFP.22.2nd,ACT7,NA,NA
I.GFP.22.2nd,HYD1,26.3193361,0.142352177
I.GFP.22.2nd,HYD1,26.11801972,0.142352177
I.GFP.22.2nd,HYD1,NA,NA
I.GFP.22.2nd,PP2A1,26.35590317,0.084159976
I.GFP.22.2nd,PP2A1,26.23688299,0.084159976
I.GFP.22.2nd,PP2A1,NA,NA
I.GFP.22.2nd,TBL6,NA,NA
I.GFP.22.2nd,TBL6,NA,NA
I.GFP.22.2nd,TBL6,NA,NA
I.GFP.22.2nd,TMN5,28.82902745,0.01338534
I.GFP.22.2nd,TMN5,28.84795718,0.01338534
I.GFP.22.2nd,TMN5,NA,NA
I.GFP.22.2nd,UBQ14,26.15919085,0.198172848
I.GFP.22.2nd,UBQ14,26.43944958,0.198172848
I.GFP.22.2nd,UBQ14,NA,NA
I.GFP.22.2nd,UBQ7,21.13022699,0.011178354
I.GFP.22.2nd,UBQ7,21.14603557,0.011178354
I.GFP.22.2nd,UBQ7,NA,NA
I.GFP.22.4th,ACT7,21.9471227,0.045597745
I.GFP.22.4th,ACT7,22.01160765,0.045597745
I.GFP.22.4th,ACT7,NA,NA
I.GFP.22.4th,HYD1,29.12969665,0.042272519
I.GFP.22.4th,HYD1,29.18947902,0.042272519
I.GFP.22.4th,HYD1,NA,NA
I.GFP.22.4th,PP2A1,28.68889553,0.149775519
I.GFP.22.4th,PP2A1,28.9007101,0.149775519
I.GFP.22.4th,PP2A1,NA,NA
I.GFP.22.4th,TBL6,NA,NA
I.GFP.22.4th,TBL6,NA,NA
I.GFP.22.4th,TBL6,NA,NA
I.GFP.22.4th,TMN5,31.40989525,0.225766849
I.GFP.22.4th,TMN5,31.09061271,0.225766849
I.GFP.22.4th,TMN5,NA,NA
I.GFP.22.4th,UBQ14,28.64727492,0.049156607
I.GFP.22.4th,UBQ14,28.57775698,0.049156607
I.GFP.22.4th,UBQ14,NA,NA
I.GFP.22.4th,UBQ7,23.96110732,0.26565907
I.GFP.22.4th,UBQ7,24.33680598,0.26565907
I.GFP.22.4th,UBQ7,NA,NA
I.GFP.23.2nd,ACT7,19.50880637,0.042607688
I.GFP.23.2nd,ACT7,19.56906274,0.042607688
I.GFP.23.2nd,ACT7,NA,NA
I.GFP.23.2nd,HYD1,28.01816606,0.067004548
I.GFP.23.2nd,HYD1,28.1129248,0.067004548
I.GFP.23.2nd,HYD1,NA,NA
I.GFP.23.2nd,PP2A1,26.11201997,0.01304122
I.GFP.23.2nd,PP2A1,26.13046304,0.01304122
I.GFP.23.2nd,PP2A1,NA,NA
I.GFP.23.2nd,TBL6,29.05818583,0.030934614
I.GFP.23.2nd,TBL6,29.10193398,0.030934614
I.GFP.23.2nd,TBL6,NA,NA
I.GFP.23.2nd,TMN5,29.03754519,0.034769098
I.GFP.23.2nd,TMN5,29.08671612,0.034769098
I.GFP.23.2nd,TMN5,NA,NA
I.GFP.23.2nd,UBQ14,25.4843265,0.109896379
I.GFP.23.2nd,UBQ14,25.63974345,0.109896379
I.GFP.23.2nd,UBQ14,NA,NA
I.GFP.23.2nd,UBQ7,20.44764134,0.057211783
I.GFP.23.2nd,UBQ7,20.36673166,0.057211783
I.GFP.23.2nd,UBQ7,NA,NA
I.GFP.24.2nd,ACT7,21.39012506,0.111320202
I.GFP.24.2nd,ACT7,21.23269452,0.111320202
I.GFP.24.2nd,ACT7,NA,NA
I.GFP.24.2nd,HYD1,28.18777217,0.053403349
I.GFP.24.2nd,HYD1,28.26329591,0.053403349
I.GFP.24.2nd,HYD1,NA,NA
I.GFP.24.2nd,PP2A1,26.98512639,0.069193291
I.GFP.24.2nd,PP2A1,26.8872723,0.069193291
I.GFP.24.2nd,PP2A1,NA,NA
I.GFP.24.2nd,TBL6,NA,NA
I.GFP.24.2nd,TBL6,NA,NA
I.GFP.24.2nd,TBL6,NA,NA
I.GFP.24.2nd,TMN5,30.52871914,0.086527759
I.GFP.24.2nd,TMN5,30.40635041,0.086527759
I.GFP.24.2nd,TMN5,NA,NA
I.GFP.24.2nd,UBQ14,26.91449798,0.096852748
I.GFP.24.2nd,UBQ14,27.05146845,0.096852748
I.GFP.24.2nd,UBQ14,NA,NA
I.GFP.24.2nd,UBQ7,21.88357714,0.049267707
I.GFP.24.2nd,UBQ7,21.9532522,0.049267707
