Sample,plant.ID,gene_target,Target,Cq,vigs_condition,aphid_status,leaf,dpi
I.Unif.9.2nd,Unif 9,none,UBQ7,21.84817528,uninfiltrated,infested,2nd,fourteen
I.Unif.9.2nd,Unif 9,none,UBQ14,26.1472127,uninfiltrated,infested,2nd,fourteen
I.Unif.9.2nd,Unif 9,none,TMN5,30.02268903,uninfiltrated,infested,2nd,fourteen
I.Unif.9.2nd,Unif 9,none,PP2A1,26.47929819,uninfiltrated,infested,2nd,fourteen
I.Unif.9.2nd,Unif 9,none,HYD1,27.14059543,uninfiltrated,infested,2nd,fourteen
I.Unif.9.2nd,Unif 9,none,ACT7,20.50283714,uninfiltrated,infested,2nd,fourteen
I.Unif.9.4th,Unif 9,none,UBQ7,27.36876478,uninfiltrated,infested,4th,fourteen
I.Unif.9.4th,Unif 9,none,UBQ14,22.39633281,uninfiltrated,infested,4th,fourteen
I.Unif.9.4th,Unif 9,none,TMN5,30.07462236,uninfiltrated,infested,4th,fourteen
I.Unif.9.4th,Unif 9,none,TBL6,31.70612905,uninfiltrated,infested,4th,fourteen
I.Unif.9.4th,Unif 9,none,PP2A1,27.69024882,uninfiltrated,infested,4th,fourteen
I.Unif.9.4th,Unif 9,none,HYD1,26.88745543,uninfiltrated,infested,4th,fourteen
I.Unif.9.4th,Unif 9,none,ACT7,21.33352932,uninfiltrated,infested,4th,fourteen
I.Unif.6.2nd,Unif 6,none,UBQ7,26.30488154,uninfiltrated,infested,2nd,twenty-one
I.Unif.6.2nd,Unif 6,none,UBQ14,21.82574263,uninfiltrated,infested,2nd,twenty-one
I.Unif.6.2nd,Unif 6,none,TMN5,29.89207119,uninfiltrated,infested,2nd,twenty-one
I.Unif.6.2nd,Unif 6,none,TBL6,28.79278922,uninfiltrated,infested,2nd,twenty-one
I.Unif.6.2nd,Unif 6,none,PP2A1,26.54509941,uninfiltrated,infested,2nd,twenty-one
I.Unif.6.2nd,Unif 6,none,HYD1,26.5447408,uninfiltrated,infested,2nd,twenty-one
I.Unif.6.2nd,Unif 6,none,ACT7,20.58800198,uninfiltrated,infested,2nd,twenty-one
I.Unif.5.2nd,Unif 5,none,UBQ7,24.39660807,uninfiltrated,infested,2nd,fourteen
I.Unif.5.2nd,Unif 5,none,UBQ14,28.242921,uninfiltrated,infested,2nd,fourteen
I.Unif.5.2nd,Unif 5,none,TMN5,30.8474808,uninfiltrated,infested,2nd,fourteen
I.Unif.5.2nd,Unif 5,none,TBL6,31.80160903,uninfiltrated,infested,2nd,fourteen
